id,topic,difficulty,question,optionA,optionB,optionC,optionD,correctLetter,correctAnswer,explanation,source,tags
licenses-014,licenses,hard,What is the penalty for a second traffic violation while holding an intermediate driver license?,A written warning is issued,Current restrictions remain until you turn 18,"License is suspended for 6 months or until you turn 18, whichever comes first",License is permanently revoked,C,"License is suspended for 6 months or until you turn 18, whichever comes first","For a second violation, the intermediate license is suspended for 6 months or until the driver turns 18, whichever comes first.","WA Driver Guide §1.8, p. 29",intermediate-license|penalties
licenses-015,licenses,easy,What happens to intermediate license restrictions when you turn 18?,You must visit a licensing office to have them removed,You must pass an additional exam,Restrictions are automatically lifted,You must apply for a new unrestricted license,C,Restrictions are automatically lifted,You don't need to get a new license when you turn 18. Intermediate driver license restrictions are automatically lifted.,"WA Driver Guide §1.8, p. 29",intermediate-license|renewal
licenses-016,licenses,medium,How many days do new residents (age 18+) with a valid out-of-state license have to obtain a Washington driver license?,30 days,10 days,60 days,90 days,A,30 days,New residents who are licensed in another state have 30 days to obtain a Washington State driver license.,"WA Driver Guide §1.5, p. 20",new-residents|deadline
licenses-017,licenses,easy,Within how many days must you update your address in License Express after moving?,5 days,30 days,60 days,10 days,D,10 days,"If your address changes, you must update your information in License Express within 10 days of the change.","WA Driver Guide §1.16, p. 39",address-change|deadline
licenses-018,licenses,easy,Where must name changes be made?,Online through License Express,By calling DOL customer service,By mailing a form to DOL,At a driver licensing office,D,At a driver licensing office,Name changes must be made in person at a driver licensing office; they cannot be done online.,"WA Driver Guide §1.16, p. 39",name-change|licensing-office
licenses-019,licenses,easy,What does REAL ID refer to?,"A federal law, not an actual piece of ID",A specific type of identification card,An enhanced driver license only,A passport replacement program,A,"A federal law, not an actual piece of ID","REAL ID is a law, not an actual piece of ID. An enhanced driver license is among several options that meet REAL ID requirements.","WA Driver Guide §1.7, p. 24",real-id|identification
licenses-020,licenses,medium,Which type of Washington ID can be used for international border crossings by land or sea?,Standard driver license,Enhanced driver license or ID,REAL ID-compliant license,Instruction permit,B,Enhanced driver license or ID,"An enhanced driver license or ID can be used for international border crossing by land or sea to Canada, Mexico, and the Caribbean.","WA Driver Guide §1.6, p. 23",enhanced-license|identification
licenses-021,licenses,medium,How long is the temporary license you receive at the licensing office valid?,30 days,60 days,90 days,45 days,D,45 days,"Before leaving the licensing office, you receive a temporary license that is good for 45 days. Your official license will be mailed to you.","WA Driver Guide §1.8, p. 27",temporary-license|validity
licenses-022,licenses,hard,"If you are 18 or older and want to practice driving with a licensed driver before taking the skills exam, your supervising driver must have at least how many years of experience?",1 year,3 years,5 years,7 years,C,5 years,"For drivers 18+, one option is to get a permit and practice driving with a licensed driver who has 5 or more years of experience before taking the skills exam.","WA Driver Guide §1.8, p. 28",adult-license|supervising-driver
licenses-023,licenses,medium,"If your driver license has been expired for 8 or more years, what must you do to renew it?",Pay an additional late fee only,Retake the knowledge and skills exams,Complete a driver training course,Provide a letter from your insurance company,B,Retake the knowledge and skills exams,"If your license is 8 or more years expired, you'll need to retake the skills and knowledge exams.","WA Driver Guide §1.15, p. 35",expired-license|renewal
licenses-024,licenses,medium,Can you use a cell phone with hands-free technology while driving with an intermediate license?,"Yes, hands-free devices are always allowed","No, except to report an emergency","Yes, but only for navigation purposes","No, phones must be turned off completely",B,"No, except to report an emergency","Intermediate license laws restrict the use of cell phones and wireless communication devices while driving, even with hands-free technology. You can only use your phone to report an emergency.","WA Driver Guide §1.8, p. 29",intermediate-license|cell-phone
licenses-025,licenses,hard,What is the minimum classroom instruction required for a traffic safety course from another state to meet Washington's requirements?,20 hours,30 hours,25 hours,40 hours,B,30 hours,A traffic safety course completed in another state must meet Washington's minimum requirement of 30 hours of classroom and 6 hours of behind-the-wheel instruction.,"WA Driver Guide §1.8, p. 26",driver-training|requirements
licenses-026,licenses,hard,How many hours of behind-the-wheel instruction with a licensed instructor are required at a minimum for a traffic safety course?,4 hours,6 hours,8 hours,10 hours,B,6 hours,Washington requires a minimum of 6 hours of behind-the-wheel instruction as part of a traffic safety course.,"WA Driver Guide §1.8, p. 26",driver-training|requirements
licenses-027,licenses,medium,What is the total minimum supervised driving practice required for applicants ages 16–17 (day + night combined)?,50 hours,40 hours,45 hours,60 hours,A,50 hours,"Applicants must complete at least 40 hours of day driving plus 10 hours of night driving, totaling 50 hours. The parental authorization form certifies you have at least 50 hours of driving experience.","WA Driver Guide §1.8, p. 26–27",practice-hours|graduated-license
licenses-028,licenses,easy,Who is allowed in the vehicle during the Driving Skills Exam?,"You, the examiner, and one parent or guardian","You and the examiner only, with exceptions for service animals and sign language interpreters","You, the examiner, and your driving instructor",You and up to two other people approved by the examiner,B,"You and the examiner only, with exceptions for service animals and sign language interpreters",Only you and the examiner are allowed in the vehicle during the exam. Exceptions are made for service animals and sign language interpreters.,"WA Driver Guide §1.12, p. 33",skills-exam|requirements
licenses-029,licenses,medium,"For a first-time license applicant ages 16–17, how long must you be free of traffic violations before applying?",6 months,3 months,9 months,12 months,A,6 months,You must be without any traffic violations or convictions for 6 months prior to applying for the license.,"WA Driver Guide §1.8, p. 26",graduated-license|violations
licenses-030,licenses,hard,What exception allows intermediate license holders to drive at any hour and with passengers?,Having completed an advanced driving course,Having a parent's written permission,Driving for agricultural purposes,Being employed and driving to work,C,Driving for agricultural purposes,"Intermediate driver license holders may drive at any hour, with passengers, for agricultural purposes.","WA Driver Guide §1.8, p. 29",intermediate-license|exceptions
vehicles-001,vehicles,medium,What is the minimum liability insurance coverage required in Washington for bodily injury or death of one person in a collision?,"$25,000","$15,000","$50,000","$20,000",A,"$25,000","Washington requires at least $25,000 payable for bodily injury or death of one person in a collision.","WA Driver Guide §2.3, p. 43",insurance|liability
vehicles-002,vehicles,medium,What is the minimum liability insurance coverage required in Washington for bodily injury or death of two or more persons in one collision?,"$25,000","$75,000","$100,000","$50,000",D,"$50,000","Washington requires at least $50,000 payable for bodily injury or death of two or more persons in any one collision.","WA Driver Guide §2.3, p. 43",insurance|liability
vehicles-003,vehicles,medium,What is the minimum liability insurance coverage required in Washington for property damage in one collision?,"$15,000","$10,000","$25,000","$20,000",B,"$10,000","Washington requires at least $10,000 payable for injury to or destruction of property of others in any one collision.","WA Driver Guide §2.3, p. 43",insurance|property-damage
vehicles-004,vehicles,easy,Where must you keep your proof of liability insurance in Washington?,Only at home in a secure location,Filed at the Department of Licensing,Only in a digital format on your phone,With you or in your vehicle,D,With you or in your vehicle,You must keep proof of insurance with you or in your vehicle at all times.,"WA Driver Guide §2.3, p. 43",insurance|proof
vehicles-005,vehicles,medium,Within how many days must you file a Vehicle Report of Sale after selling your vehicle to another individual?,5 days,15 days,10 days,30 days,A,5 days,"If you sell, trade, gift, or dispose of your vehicle, you must file a Vehicle Report of Sale within 5 days.","WA Driver Guide §2.1, p. 42",report-of-sale|deadlines
vehicles-006,vehicles,medium,"After purchasing a vehicle from an individual, within how many days must the buyer transfer ownership to avoid penalty fees?",5 days,15 days,10 days,30 days,B,15 days,The purchaser must bring the signed title to a licensing office to transfer ownership within 15 days to avoid penalty fees.,"WA Driver Guide §2.1, p. 42",title-transfer|deadlines
vehicles-007,vehicles,medium,Does filing a Vehicle Report of Sale transfer ownership of a vehicle?,"Yes, ownership transfers automatically when the report is filed","No, the title must be signed and given to the purchaser to transfer ownership","Yes, but only after 30 days","Yes, if both parties sign the report",B,"No, the title must be signed and given to the purchaser to transfer ownership","A report of sale does not transfer ownership. The title must be signed and dated by the owner(s) and given to the purchaser, who must then bring it to a licensing office.","WA Driver Guide §2.1, p. 42",report-of-sale|title-transfer
vehicles-008,vehicles,easy,Where must license plates be displayed on motor vehicles registered in Washington?,Front and rear,Front only,Rear only,Either front or rear,A,Front and rear,License plates must be clearly displayed on the front and rear of motor vehicles registered in Washington.,"WA Driver Guide §2.2, p. 43",license-plates|registration
vehicles-009,vehicles,easy,What is illegal regarding license plate frames in Washington?,Using any type of frame around the plate,Using a colored or decorative frame,"Covering the letters, numbers, or tabs on the plate",Using a frame not purchased from the dealer,C,"Covering the letters, numbers, or tabs on the plate","You can have a license plate frame, but it's illegal to cover the letters, numbers, or tabs on the plate.","WA Driver Guide §2.2, p. 43",license-plates|equipment
vehicles-010,vehicles,medium,How many days do new Washington residents have to complete their vehicle registration?,15 days,60 days,45 days,30 days,D,30 days,New residents have 30 days to complete their vehicle registration in Washington.,"WA Driver Guide §2.0, p. 41",registration|deadlines
vehicles-011,vehicles,medium,Until what age must children ride in a rear-facing car seat in Washington?,Age 2,Age 3,Age 1,Age 4,A,Age 2,Children up to age 2 must ride in a rear-facing car seat.,"WA Driver Guide §2.6, p. 53",child-restraints|car-seats
vehicles-012,vehicles,medium,At what age range must children ride in a car seat with a rear- or forward-facing harness in Washington?,Birth to 2 years,2 to 4 years,4 to 8 years,1 to 3 years,B,2 to 4 years,Children ages 2 to 4 years must ride in a car seat with a rear- or forward-facing harness.,"WA Driver Guide §2.6, p. 54",child-restraints|car-seats
vehicles-013,vehicles,medium,At what height can a child transition from a booster seat to using just a seat belt in Washington?,Over 4 feet tall,Over 5 feet tall,Over 4 feet 6 inches tall,Over 4 feet 9 inches tall,D,Over 4 feet 9 inches tall,"Children must ride in a car or booster seat until the vehicle lap and shoulder seat belts fit properly, typically when they are over 4'9"" tall.","WA Driver Guide §2.6, p. 54",child-restraints|booster-seats
vehicles-014,vehicles,easy,Why should children under the age of 13 never ride in the front seat?,They cannot reach the dashboard controls,They could be seriously injured or killed if an airbag deploys,It is illegal for them to wear a seat belt in front,The front seat offers less legroom for children,B,They could be seriously injured or killed if an airbag deploys,Children under age 13 should never ride in the front seat because they could be seriously injured or killed if an airbag deploys.,"WA Driver Guide §2.6, p. 54",airbags|child-safety
vehicles-015,vehicles,medium,How far should your chest be from the steering wheel to allow space for the airbag?,At least 6 inches,At least 8 inches,At least 10 inches,At least 12 inches,C,At least 10 inches,Your chest should be at least 10 inches from the steering wheel to leave space for the airbag.,"WA Driver Guide §2.5, p. 51",seat-adjustment|airbags
vehicles-016,vehicles,easy,Where should the headrest be positioned to protect against whiplash?,Even with your ears,Even with the top of your head,At the base of your neck,Above the top of your head,A,Even with your ears,"To protect yourself from whiplash, make sure the headrest is even with your ears.","WA Driver Guide §2.5, p. 51",headrest|seat-adjustment
vehicles-017,vehicles,easy,What is the recommended hand position on the steering wheel for most driving situations?,8 and 4 o'clock,9 and 3 o'clock,12 and 6 o'clock,7 and 5 o'clock,B,9 and 3 o'clock,Place your hands on the top half of the steering wheel at 9 and 3 (or 10 and 2) for the best control.,"WA Driver Guide §2.7, p. 55",steering|hand-position
vehicles-018,vehicles,medium,Which steering method is recommended because it keeps your arms away from the airbag area?,One-hand steering,Hand-over-hand steering,Palm steering,Hand-to-hand (pull/push) steering,D,Hand-to-hand (pull/push) steering,"Hand-to-hand (pull/push) steering keeps both hands on the wheel without crossing over, reducing the chance of arm or hand injury if the airbag deploys.","WA Driver Guide §2.7, p. 56",steering|safety
vehicles-019,vehicles,medium,When should you use hand-over-hand steering?,"When turning at low speeds, with limited visibility, or when parking",Only on highways at high speeds,Only when driving in reverse,When driving on straight roads,A,"When turning at low speeds, with limited visibility, or when parking","Hand-over-hand steering is used when turning at low speeds, with limited visibility, at an intersection, when parking, or when recovering from a skid.","WA Driver Guide §2.7, p. 57",steering|turning
vehicles-020,vehicles,medium,Which hand position is recommended when backing a vehicle using one-hand steering?,The 6 o'clock position,The 12 o'clock position,The 9 o'clock position,The 3 o'clock position,B,The 12 o'clock position,The 12 o'clock position is recommended only when backing a vehicle using one-hand steering.,"WA Driver Guide §2.7, p. 58",steering|backing
vehicles-021,vehicles,easy,What is the primary safety advantage of an Antilock Brake System (ABS)?,It allows you to steer during emergency braking,It shortens your stopping distance,It eliminates the need for brake maintenance,It automatically stops the vehicle at red lights,A,It allows you to steer during emergency braking,ABS offers an important safety advantage by allowing drivers to steer during an emergency braking situation. It does not shorten stopping distance but allows better steering control.,"WA Driver Guide §2.8, p. 59",braking|abs
vehicles-022,vehicles,medium,What is a common misconception about ABS that the driver guide corrects?,ABS eliminates the need for tire tread,ABS works only at high speeds,ABS shortens stopping distance,ABS replaces brake fluid,C,ABS shortens stopping distance,"An ABS does not shorten your stopping distance, but it will allow you to keep better steering control during emergency braking.","WA Driver Guide §2.8, p. 59",braking|abs
vehicles-023,vehicles,medium,What happens to a vehicle's weight distribution when you accelerate?,Weight shifts to the left side,Weight shifts to the front of the vehicle,Weight shifts to the back of the vehicle,Weight remains evenly distributed,C,Weight shifts to the back of the vehicle,"When you accelerate, the weight of the vehicle shifts to the back and increases pressure on the rear of the vehicle. This is called pitch.","WA Driver Guide §2.10, p. 60",weight-transfer|pitch
vehicles-024,vehicles,medium,What happens to a vehicle's weight distribution when you brake abruptly?,"Weight shifts forward, increasing pressure on the front",Weight shifts to the back of the vehicle,Weight shifts equally to both sides,Weight remains unchanged,A,"Weight shifts forward, increasing pressure on the front","If you stop abruptly, the weight shifts forward, increasing pressure on the front of the vehicle.","WA Driver Guide §2.10, p. 60",weight-transfer|pitch
vehicles-025,vehicles,medium,What is the term for the side-to-side weight shift that occurs when a vehicle turns?,Pitch,Roll,Yaw,Drift,B,Roll,"Roll is the side-to-side motion of a vehicle. When you make a turn, centrifugal force transfers weight to the outside of the vehicle, causing the body to roll to one side.","WA Driver Guide §2.10, p. 61",weight-transfer|roll
vehicles-026,vehicles,hard,"When stopped at an intersection, what reference point indicates you are approximately 3 to 6 inches from the stop line?",The stop line is under your front bumper,The stop line is at the center of your hood,The stop line is under your side mirror,The stop line is visible between your front tires,C,The stop line is under your side mirror,"At an intersection, stopping when the stop line is under your side mirror means you are about 3 to 6 inches from the line.","WA Driver Guide §2.11, p. 62",reference-points|stopping
vehicles-027,vehicles,medium,How can you determine your approximate lane position while driving?,Watch only your side mirrors,Check that the center of your hood is in line with lane markings,Look at where your tires meet the road,Follow the vehicle ahead of you,B,Check that the center of your hood is in line with lane markings,"To determine your lane position, check that the center of your hood is in line with lane markings. If they're in line, you're approximately 3 to 6 inches from the edge of the lane.","WA Driver Guide §2.11, p. 63",reference-points|lane-position
vehicles-028,vehicles,easy,What is the best way to tell if you are in a large truck's blind zone (no-zone)?,If you are within 200 feet of the truck,If you can hear the truck's engine,If you are behind the truck's rear axle,"If you cannot see the truck's mirrors, the driver cannot see you",D,"If you cannot see the truck's mirrors, the driver cannot see you","If you can't see a large vehicle's mirrors, the driver can't see you. Large vehicles have bigger blind zones called 'no zones.'","WA Driver Guide §2.13, p. 64",blind-zones|trucks
vehicles-029,vehicles,easy,What should you do if you find yourself in another vehicle's blind zone?,Honk your horn to alert the other driver,Flash your headlights,Speed up or slow down so the driver can see you,Maintain your position until the other vehicle moves,C,Speed up or slow down so the driver can see you,You need to be aware of other vehicles' blind zones and do your best to stay out of them. You can speed up or slow down so the driver can clearly see you.,"WA Driver Guide §2.13, p. 64",blind-zones|defensive-driving
vehicles-030,vehicles,medium,What is the minimum tire tread depth required for safe driving?,4/32 of an inch,1/32 of an inch,2/32 of an inch,3/32 of an inch,C,2/32 of an inch,"Tire tread shouldn't be less than 2/32 of an inch. Worn tires can cause slipping and sliding, especially on wet roads.","WA Driver Guide §2.5, p. 48",tires|maintenance
vehicles-031,vehicles,medium,You must switch from high beams to regular headlights when you are within what distance of an oncoming vehicle?,500 feet,"1,000 feet",300 feet,200 feet,A,500 feet,You must switch back to regular headlights when you are 500 feet in front of an oncoming vehicle.,"WA Driver Guide §2.5, p. 50",headlights|high-beams
vehicles-032,vehicles,medium,"When following another vehicle, at what distance must you switch from high beams to regular headlights?",500 feet,200 feet,100 feet,300 feet,D,300 feet,You must switch back to regular headlights when you are 300 feet behind another vehicle.,"WA Driver Guide §2.5, p. 50",headlights|high-beams
vehicles-033,vehicles,medium,From what distance must brake lights be clearly visible?,100 feet,50 feet,200 feet,300 feet,A,100 feet,Your brake lights are red and must be clearly visible from 100 feet away.,"WA Driver Guide §2.5, p. 50",brake-lights|equipment
vehicles-034,vehicles,easy,How far in advance should you signal before making a turn?,200 feet,50 feet,150 feet,100 feet,D,100 feet,You should signal 100 feet before you make your move when turning.,"WA Driver Guide §2.5, p. 50",turn-signals|signaling
vehicles-035,vehicles,easy,Which of the following is part of the recommended pre-drive checklist?,Test the horn three times,Warm up the engine for 10 minutes,Check for fluid leaks under the vehicle and obstructions around it,Check tire pressure with a gauge before every trip,C,Check for fluid leaks under the vehicle and obstructions around it,"Before driving, check outside your vehicle for foreign objects in tires, broken glass, fluid leaks, obstructions, children, pets, or weather-related obstacles.","WA Driver Guide §2.14, p. 66",pre-drive|checklist
drivers-001,drivers,easy,"In Washington, what is the legal BAC (blood alcohol concentration) limit for drivers age 21 and older?",0.05%,0.08%,0.10%,0.02%,B,0.08%,"For drivers age 21 and older, having a BAC of 0.08% or higher is considered a DUI and can result in legal consequences.","WA Driver Guide §1.15, p. 37",alcohol|bac|dui
drivers-002,drivers,easy,What is the BAC limit for drivers under age 21 in Washington?,0.08%,0.04%,0.00%,0.02%,D,0.02%,"Drivers under age 21 face DUI consequences for having a BAC of 0.02% or more, reflecting Washington's stricter standard for minors.","WA Driver Guide §1.15, p. 37",alcohol|bac|minors
drivers-003,drivers,medium,"For drivers age 21 and older, what is the legal THC limit in Washington?",5 nanograms per milliliter of blood,2 nanograms per milliliter of blood,0 nanograms per milliliter of blood,10 nanograms per milliliter of blood,A,5 nanograms per milliliter of blood,"For drivers age 21 and older, having more than 5 nanograms of active THC per milliliter of blood is considered a DUI.","WA Driver Guide §1.15, p. 37",cannabis|thc|dui
drivers-004,drivers,medium,What is the THC limit for drivers under age 21 in Washington?,5 nanograms per milliliter of blood,2 nanograms per milliliter of blood,1 nanogram per milliliter of blood,Anything above 0 nanograms per milliliter of blood,D,Anything above 0 nanograms per milliliter of blood,Drivers under age 21 face DUI consequences for anything more than 0 nanograms of active THC per milliliter of blood in their system.,"WA Driver Guide §1.15, p. 37",cannabis|thc|minors
drivers-005,drivers,medium,"Under Washington's Implied Consent Law, what do you agree to when you drive in the state?",You agree to carry proof of insurance at all times,You agree to pull over for any law enforcement request,You agree to submit to a vehicle inspection at any time,You agree to be tested if an officer suspects you are under the influence of alcohol or drugs,D,You agree to be tested if an officer suspects you are under the influence of alcohol or drugs,"Under the Implied Consent Law (RCW 46.20.308), everyone who drives in Washington agrees to be tested if an officer suspects they are under the influence of alcohol or drugs.","WA Driver Guide §1.15, p. 37",implied-consent|dui|law
drivers-006,drivers,medium,"If you refuse to submit to a BAC or drug test in Washington, how long could you lose your driving privilege?",90 to 730 days,60 to 180 days,30 to 60 days,1 to 5 years,A,90 to 730 days,"If you refuse to be tested, you could lose your driving privilege for 90 to 730 days, or until you reach age 21, whichever is longer.","WA Driver Guide §1.15, p. 37",implied-consent|suspension|refusal
drivers-007,drivers,hard,A 19-year-old driver refuses a breath test after being pulled over on suspicion of DUI. What is the minimum period they could lose their driving privilege?,90 days,Until they reach age 21,6 months,The longer of 90 days or until they reach age 21,D,The longer of 90 days or until they reach age 21,"If you refuse to be tested, you could lose your driving privilege for 90 to 730 days, or until you reach age 21, whichever is longer. For a 19-year-old, reaching age 21 would be longer than 90 days.","WA Driver Guide §1.15, p. 37",implied-consent|minors|suspension
drivers-008,drivers,hard,"In Washington, DUI applies to which of the following situations?",Only when the vehicle is moving on a public road,Only when the vehicle is moving above 5 mph,"Being in physical control of a vehicle, even if it is parked",Only when the vehicle is on a highway,C,"Being in physical control of a vehicle, even if it is parked","DUI also applies to being in control of a vehicle, even if it's parked. If you have the ability to take control of a vehicle's engine or operation, you are considered in physical control of the vehicle.","WA Driver Guide §1.15, p. 37",dui|physical-control|law
drivers-009,drivers,medium,What is the range of license suspension for a DUI conviction in Washington?,90 days to 4 years,60 days to 2 years,30 days to 1 year,6 months to 5 years,A,90 days to 4 years,"DUI convictions can include driving privileges suspended for 90 days to 4 years, depending on the circumstances and prior offenses.","WA Driver Guide §1.15, p. 38",dui|suspension|penalties
drivers-010,drivers,hard,Which of the following is NOT listed as a potential consequence of a DUI conviction in Washington?,Ignition interlock device required to drive,Community service of at least 200 hours,Higher insurance rates,Required alcohol assessment and treatment report,B,Community service of at least 200 hours,"DUI convictions can include loss of license, heavy fines, criminal penalties, jail, higher insurance rates, ignition interlock devices, and required alcohol assessment. Community service of 200 hours is not listed in the guide.","WA Driver Guide §1.15, p. 38",dui|penalties
drivers-011,drivers,medium,"Under Washington's open container law, where must open alcohol or cannabis products be transported?",In the glove compartment,Under the front seat,In a trunk or truck bed,In any sealed bag within the vehicle,C,In a trunk or truck bed,Open alcohol and cannabis products can only be transported in a trunk or truck bed. They cannot be kept in storage compartments accessible to the driver.,"WA Driver Guide §1.15, p. 39",open-container|law
drivers-012,drivers,medium,Which of the following violates Washington's open container law?,A bottle of alcohol with a broken seal in the passenger area,A partially consumed bottle of alcohol in the trunk,An unopened bottle of wine on the back seat,A sealed six-pack in the back seat,A,A bottle of alcohol with a broken seal in the passenger area,"It is a traffic infraction if any person in a vehicle possesses alcohol containers that have been opened, have a broken seal, or are partially consumed in the passenger area. Such items must be in a trunk or truck bed.","WA Driver Guide §1.15, p. 38",open-container|law
drivers-013,drivers,easy,How long do alcohol- and drug-related offenses remain on your driving record in Washington?,5 years,7 years,10 years,For life,D,For life,Alcohol- and drug-related offenses appear on your driving record for life.,"WA Driver Guide §1.15, p. 38",dui|record|penalties
drivers-014,drivers,easy,Which of the following is an effect of alcohol on driving ability?,Increased peripheral vision,Faster reaction times,Reduced reaction times and difficulty doing multiple tasks,Improved concentration in low-light conditions,C,Reduced reaction times and difficulty doing multiple tasks,"Alcohol can cause reduced reaction times, concentration, and ability to scan the environment, as well as difficulty doing multiple tasks at once, like staying in a lane and avoiding other traffic.","WA Driver Guide §3.1, p. 72",alcohol|impairment|effects
drivers-015,drivers,medium,Which psychological effect does alcohol have that makes it particularly dangerous for drivers?,It causes excessive caution and hesitation,It causes drivers to drive below the speed limit,It makes drivers overly aware of other vehicles,"It produces overconfidence, which can lead to risky driving behavior",D,"It produces overconfidence, which can lead to risky driving behavior","Alcohol can cause overconfidence, which can lead to risky driving behavior. This is especially dangerous because impaired drivers may believe they are driving safely when they are not.","WA Driver Guide §3.1, p. 72",alcohol|impairment|judgment
drivers-016,drivers,medium,"In Washington, recreational use of marijuana is legal for those age 21 and over. When is it legal to drive after consuming cannabis?",Driving after consuming any cannabis is illegal for all ages,When you feel the effects have worn off,When your THC level is below 5 nanograms,Two hours after consuming cannabis,A,Driving after consuming any cannabis is illegal for all ages,Driving after consuming any cannabis is illegal for all ages. The guide states there is no safe amount of cannabis for driving.,"WA Driver Guide §3.1, p. 73",cannabis|dui|law
drivers-017,drivers,easy,Which of the following is a way cannabis can impair driving?,Increased alertness and focus,Faster decision-making,Increased drowsiness and loss of motor coordination,Heightened peripheral vision,C,Increased drowsiness and loss of motor coordination,"Cannabis can impair drivers through increased drowsiness, loss of motor coordination, slower reaction times, reduced attention, and inability to judge distances.","WA Driver Guide §3.1, p. 73",cannabis|impairment|effects
drivers-018,drivers,easy,"A driver takes a new prescription medication for the first time. According to the guide, what should they do before driving?","Wait until they know what effect it has on their judgment, coordination, and reaction time",Drive only on local roads to test the medication's effect,Take a lower dose than prescribed when planning to drive,Drive only during daylight hours for the first week,A,"Wait until they know what effect it has on their judgment, coordination, and reaction time","Do not drive if you just started taking prescription drugs for the first time, started a new prescription, or a higher dose. Wait until you know what effect it has on your judgment, coordination, and reaction time.","WA Driver Guide §3.1, p. 74",medications|prescription|impairment
drivers-019,drivers,easy,Why might over-the-counter cold or allergy medication be dangerous for drivers?,They always contain alcohol,"They can make a person drowsy, affecting driving ability",They impair vision permanently,They cause aggressive driving behavior,B,"They can make a person drowsy, affecting driving ability","Over-the-counter drugs taken for headaches, colds, or allergies can make a person drowsy, which could affect driving. Like alcohol, they can affect reflexes, judgment, vision, and alertness.","WA Driver Guide §3.1, p. 74",medications|otc|drowsiness
